No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,,,,time2,time1,delay,delay2,delay1,jitter,
1273,31.710705,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,31.956994,31.710705,0.246289,0.10198,0.144309,-0.042329,
1287,31.956994,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,32.058974,31.956994,0.10198,0.074393,0.027587,0.046806,
1290,32.058974,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,32.133367,32.058974,0.074393,0.595316,-0.520923,1.116239,
1296,32.133367,34.101.5.48,192.168.43.46,HTTP,1414,[TCP Previous segment not captured] Continuation,,,,,,,,,,,,,,,,,,32.728683,32.133367,0.595316,6.594144,-5.998828,12.592972,
1321,32.728683,74.125.24.95,192.168.43.46,TLSv1.3,1414,"[TCP Previous segment not captured] , Continuation Data",,,,,,,,,,,,,,,,,,39.322827,32.728683,6.594144,4.168898,2.425246,1.743652,
1531,39.322827,74.125.24.149,192.168.43.46,TCP,211,"[TCP Previous segment not captured] 443  >  49319 [PSH, ACK] Seq=2721 Ack=518 Win=66816 Len=157 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,43.491725,39.322827,4.168898,0.000372,4.168526,-4.168154,
1654,43.491725,103.234.120.176,192.168.43.46,TCP,638,"[TCP Previous segment not captured] 443  >  49320 [PSH, ACK] Seq=2721 Ack=518 Win=66816 Len=584 [TCP segment of a reassembled PDU]",,,,,,,,,,,,,,,,,,43.492097,43.491725,0.000372,1.832547,-1.832175,3.664722,
1656,43.492097,103.234.120.176,192.168.43.46,TLSv1.2,638,"[TCP Previous segment not captured] , Ignored Unknown Record",,,,,,,,,,,,,,,,,,45.324644,43.492097,1.832547,8.400689,-6.568142,14.968831,
1741,45.324644,172.217.194.94,192.168.43.46,TLSv1.2,1365,"[TCP Previous segment not captured] , Ignored Unknown Record",,,,,,,,,,,,,,,,,,53.725333,45.324644,8.400689,0.031194,8.369495,-8.338301,
1980,53.725333,173.194.4.74,192.168.43.46,TLSv1.2,1117,"[TCP Previous segment not captured] , Ignored Unknown Record",,,,,,,,,,,,,,,,,,53.756527,53.725333,0.031194,0.840286,-0.809092,1.649378,
1985,53.756527,173.194.4.74,192.168.43.46,TLSv1.2,1117,"[TCP Previous segment not captured] , Ignored Unknown Record",,,,,,,,,,,,,,,,,,54.596813,53.756527,0.840286,2.286061,-1.445775,3.731836,
2007,54.596813,173.194.4.74,192.168.43.46,TLSv1.2,923,"[TCP Previous segment not captured] , Ignored Unknown Record",,,,,,,,,,,,,,,,,,56.882874,54.596813,2.286061,,2.286061,,
2066,56.882874,52.43.166.90,192.168.43.46,TLSv1,91,"[TCP Previous segment not captured] , Application Data",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,total delay,53.940891,,,total jitter,42.420894
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,rata2 delay,0.018082766,,,rata2 jitter,0.014220885
